userId,genres,count,mean
1,Adventure,85,4.388235294
1,Animation,29,4.689655172
1,Children,42,4.547619048
1,Comedy,83,4.277108434
1,Fantasy,47,4.29787234
5,Adventure,8,3.25
5,Animation,6,4.333333333
5,Children,9,4.111111111
5,Comedy,15,3.466666667
5,Fantasy,7,4.142857143
7,Adventure,54,3.314814815
7,Animation,14,3.392857143
7,Children,15,3.2
7,Comedy,49,3.163265306
7,Fantasy,23,3.065217391
15,Adventure,57,3.342105263
15,Animation,22,2.954545455
15,Children,21,2.69047619
15,Comedy,28,3.357142857
15,Fantasy,16,2.90625
17,Adventure,35,4.285714286
17,Animation,10,4.4
17,Children,7,4.214285714
17,Comedy,19,4.157894737
17,Fantasy,17,4.323529412
18,Adventure,142,3.633802817
18,Animation,31,3.758064516
18,Children,35,3.542857143
18,Comedy,148,3.506756757
18,Fantasy,52,3.644230769
19,Adventure,157,2.815286624
19,Animation,48,2.9375
19,Children,102,2.696078431
19,Comedy,378,2.64021164
19,Fantasy,96,2.833333333
21,Adventure,177,3.663841808
21,Animation,58,3.24137931
21,Children,61,3.204918033
21,Comedy,201,3.201492537
21,Fantasy,63,3.087301587
27,Adventure,59,3.644067797
27,Animation,22,3.363636364
27,Children,49,3.244897959
27,Comedy,50,3.4
27,Fantasy,22,3.363636364
31,Adventure,15,4
31,Animation,5,4
31,Children,7,4.142857143
31,Comedy,22,3.863636364
31,Fantasy,10,3.7
32,Adventure,18,3.555555556
32,Animation,2,3
32,Children,6,3.5
32,Comedy,43,3.720930233
32,Fantasy,12,3.583333333
33,Adventure,10,3.9
33,Animation,6,3.833333333
33,Children,8,3.875
33,Comedy,58,3.827586207
33,Fantasy,6,3.5
40,Adventure,23,3.47826087
40,Animation,8,3.625
40,Children,18,3.722222222
40,Comedy,41,3.634146341
40,Fantasy,12,3.75
43,Adventure,34,4.676470588
43,Animation,13,5
43,Children,32,4.9375
43,Comedy,44,4.522727273
43,Fantasy,17,4.882352941
44,Adventure,20,3.45
44,Animation,4,2.75
44,Children,3,2.333333333
44,Comedy,23,3.391304348
44,Fantasy,3,2.333333333
45,Adventure,99,4.015151515
45,Animation,31,4.435483871
45,Children,54,3.861111111
45,Comedy,221,3.685520362
45,Fantasy,45,3.755555556
46,Adventure,13,4.076923077
46,Animation,4,5
46,Children,4,5
46,Comedy,12,3.916666667
46,Fantasy,3,4.666666667
50,Adventure,80,2.475
50,Animation,53,2.622641509
50,Children,42,2.261904762
50,Comedy,121,2.590909091
50,Fantasy,44,2.829545455
54,Adventure,6,3
54,Animation,3,3
54,Children,5,2.8
54,Comedy,13,2.923076923
54,Fantasy,3,3
57,Adventure,135,3.355555556
57,Animation,33,3.757575758
57,Children,43,3.348837209
57,Comedy,204,3.401960784
57,Fantasy,50,3.42
63,Adventure,89,3.528089888
63,Animation,33,4.242424242
63,Children,30,3.8
63,Comedy,110,3.75
63,Fantasy,38,3.592105263
64,Adventure,103,3.757281553
64,Animation,33,3.878787879
64,Children,49,3.816326531
64,Comedy,215,3.662790698
64,Fantasy,67,3.820895522
66,Adventure,69,3.913043478
66,Animation,16,4.1875
66,Children,19,3.973684211
66,Comedy,147,3.955782313
